,题目
0,1在远景中，人物的高度占画面高度的（）。1.0 分
1,A、
2,四分之一
3,B、
4,四分之一以下
5,C、
6,三分之一
7,D、
8,三分之一以下
9,正确答案： D 我的答案：D
10,2长镜头理论是由（）提出。1.0 分
11,A、
12,希区柯克
13,B、
14,普多夫金
15,C、
16,巴赞
17,D、
18,爱森斯坦
19,正确答案： C 我的答案：C
20,3文案设计不具体、不细致就忙于拍摄会导致（）的结果。1.0 分
21,A、
22,拍摄现场混乱、无序
23,B、
24,拍了很多素材，但可用的很少
25,C、
26,拍摄时间延长，后期制作时间紧张
27,D、
28,故事不深刻，影响影片效果
29,正确答案： B 我的答案：B
30,4电影界把一天中的（）称为黄金时间。1.0 分
31,A、
32,早上6点半-8点半
33,B、
34,早上8点半-11点半
35,C、
36,下午2点半-4点半
37,D、
38,下午3点半-5点半
39,正确答案： A 我的答案：A
40,5蒙太奇的种类不包括（）。1.0 分
41,A、
42,表意蒙太奇
43,B、
44,表述蒙太奇
45,C、
46,符合蒙太奇
47,D、
48,表象蒙太奇
49,正确答案： B 我的答案：B
50,6电影排演的第一个阶段是（）。1.0 分
51,A、
52,排练厅的排演
53,B、
54,现场排演
55,C、
56,室外排演
57,D、
58,全体排演
59,正确答案： A 我的答案：A
60,7轮廓光的高度是（）。1.0 分
61,A、
62,15-25度
63,B、
64,25-35度
65,C、
66,35-45度
67,D、
68,45-55度
69,正确答案： D 我的答案：D
70,8排练厅的排演的内容是（）。1.0 分
71,A、
72,揣摩角色
73,B、
74,分析角色
75,C、
76,对台词
77,D、
78,梳理人物关系
79,正确答案： C 我的答案：C
80,9关于患癌学生黄咏华的纪录片中有哪些不足之处？（）1.0 分
81,A、
82,情感不够深刻
83,B、
84,故事叙述不流畅
85,C、
86,结尾冗长
87,D、
88,内容结构不完整
89,正确答案： C 我的答案：C
90,10表意蒙太奇的手法是（）。1.0 分
91,A、
92,对比
93,B、
94,联想
95,C、
96,象征
97,D、
98,以上都是
99,正确答案： D 我的答案：D
100,11晴天，日出日落时，日光的色温是（）。1.0 分
101,A、
102,4500K左右
103,B、
104,4000左右
105,C、
106,3000左右
107,D、
108,2000左右
109,正确答案： D 我的答案：D
110,12拍摄肖像时，人物的眼睛应在（）位置。1.0 分
111,A、
112,中线
113,B、
114,顶部
115,C、
116,中线上方
117,D、
118,中线下方
119,正确答案： C 我的答案：C
120,13关于演员的戏剧和生活任务，下列说法错误的是（）。1.0 分
121,A、
122,戏剧任务是指演员按照剧本扮演角色。
123,B、
124,生活的任务是指在完成戏剧任务的同时，加入生活的场景，使一场戏变得生活化。
125,C、
126,生活的任务是对戏剧任务的包装。
127,D、
128,生活任务和戏剧任务都是由剧本提供。
129,正确答案： D 我的答案：D
130,14下列属于内部节奏的是（）。1.0 分
131,A、
132,镜头切换
133,B、
134,镜头运动
135,C、
136,演员情绪
137,D、
138,演员运动
139,正确答案： C 我的答案：C
140,15表现环境、渲染气氛的镜头一般采用（）。1.0 分
141,A、
142,全景和远景
143,B、
144,远景和特写
145,C、
146,近景和特写
147,D、
148,近景和中景
149,正确答案： A 我的答案：A
150,16关于基本拍摄方法的说法中，错误的是（）。1.0 分
151,A、
152,拍摄方法不仅是机位问题，更是视角的问题。
153,B、
154,若没有主观镜头，观众的认同感会很差。
155,C、
156,拍摄前画好机位图，有助于现场拍摄。
157,D、
158,拍摄时不要交替主观、客观、半主观镜头，否则会使画面凌乱。
159,正确答案： D 我的答案：D
160,17下列关于微电影剧作的说法中，错误的是（）。1.0 分
161,A、
162,微电影一般只能有一个情节
163,B、
164,情节前的序幕要短
165,C、
166,可以不考虑细节
167,D、
168,人物在三个左右
169,正确答案： C 我的答案：C
170,18（）第一次将特写运用于艺术。1.0 分
171,A、
172,梅里爱兄弟
173,B、
174,鲍特
175,C、
176,普多夫金
177,D、
178,格里菲斯
179,正确答案： D 我的答案：D
180,19影片设置悬念的原因是（）。1.0 分
181,A、
182,制造悬疑，增强影片氛围
183,B、
