,题目
0,1
1,下列选项中，grand作名词使用的是（）。（1.5分）
2,1.5分
3,窗体顶端
4,A、
5,grand vent
6,
7,B、
8,la classe des grands
9,
10,C、
11,grande averse
12,
13,D、
14,grande pluie
15,
16,窗体底端
17,我的答案：B
18,2
19,在法国文化的送花礼仪中，哪一种花被认为是送给逝者的花儿？（）（1.5分）
20,1.5分
21,窗体顶端
22,A、
23,百合
24,
25,B、
26,玫瑰
27,
28,C、
29,康乃馨
30,
31,D、
32,雏菊
33,
34,窗体底端
35,我的答案：D
36,3
37,下列选项中，表达“一个漂亮的聪明的中国小伙子”正确的是（）。（1.5分）
38,1.5分
39,窗体顶端
40,A、
41,un beau jeune homme chinois intelligent
42,
43,B、
44,un intelligent beau jeune homme chinois
45,
46,C、
47,un chinois beau jeune homme intelligent
48,
49,D、
50,un intelligent beau homme jeune chinois
51,
52,窗体底端
53,我的答案：A
54,4
55,马晓宏教授认为，想要学习好法语口语，最基础最应该勤加练习的技能是（）。（1.5分）
56,1.5分
57,窗体顶端
58,A、
59,写
60,
61,B、
62,说
63,
64,C、
65,背
66,
67,D、
68,看
69,
70,窗体底端
71,我的答案：C
72,5
73,在法语中，（）都是前置形容词。（1.5分）
74,1.5分
75,窗体顶端
76,A、
77,所有修饰专有名词的形容词
78,
79,B、
80,所有表示评价的情感形容词
81,
82,C、
83,除基数词和序数词意外的数字形容词
84,
85,D、
86,以上都对
87,
88,窗体底端
89,我的答案：D
90,6
91,法语中，用于表明一个纯粹发生或延续在过去某个时间段内，但与现在没有时间关联的动作或状态的时态是（）。（1.5分）
92,1.5分
93,窗体顶端
94,A、
95,复合过去时
96,
97,B、
98,过去最近过去时
99,
100,C、
101,简单过去时
102,
103,D、
104,愈过去时
105,
106,窗体底端
107,我的答案：C
108,7
109,法语口语中存在什么差异？（）（1.5分）
110,1.5分
111,窗体顶端
112,A、
113,不同国家与地区的法语分类
114,
115,B、
116,不同职业的法语分类
117,
118,C、
119,不同社会阶层的法语分类
120,
121,D、
122,以上都是
123,
124,窗体底端
125,我的答案：D
126,8
127,法语口语应具备的基本技能是（）。（1.5分）
128,1.5分
129,窗体顶端
130,A、
131,基本的词汇
132,
133,B、
134,基本的句型
135,
136,C、
137,基本的语法
138,
139,D、
140,以上都对
141,
142,窗体底端
143,我的答案：D
144,9
145,法语中，指动作发生在或状态延续在讲话后的动词时态是（）。（1.5分）
146,1.5分
147,窗体顶端
148,A、
149,现在时
150,
151,B、
152,过去时
153,
154,C、
155,将来时
156,
157,D、
158,以上三种情况都有可能
159,
160,窗体底端
161,我的答案：C
162,10
163,确认法语动词的方法是（）。（1.5分）
164,1.5分
165,窗体顶端
166,A、
167,动词前面有代词
168,
169,B、
170,动词前有作主语的专、普名词
171,
172,C、
173,动词前有其他动词
174,
175,D、
176,以上都对
177,
178,窗体底端
179,我的答案：D
180,11
181,在法语中，一般用来回答句子中（）问题的都是补语。（1.5分）
182,1.5分
183,窗体顶端
184,A、
185,quand
186,
187,B、
188,comment
189,
190,C、
191,pourquoi
192,
193,D、
194,以上都对
195,
196,窗体底端
197,我的答案：D
198,12
199,下列法语形容词中，属于位置不定形容词的是（）。（1.5分）
200,1.5分
201,窗体顶端
202,A、
203,grand
204,
205,B、
206,petit
207,
208,C、
209,pauvre
210,
211,D、
212,以上都对
213,
214,窗体底端
215,我的答案：D
216,13
217,法语中“一个高大(身材）的男人”应该是（）。（1.5分）
218,1.5分
219,窗体顶端
220,A、
221,un homme grand
222,
223,B、
224,un grand homme
225,
226,C、
227,grand un homme
228,
229,D、
230,homme un grand
231,
232,窗体底端
233,我的答案：A
234,14
235,对于去法国留学的同学，下列哪些物品是需要提前准备的？（）（1.5分）
236,1.5分
237,窗体顶端
238,A、
239,护照
240,
241,B、
242,各类公证材料
243,
244,C、
245,电脑
246,
247,D、
248,以上都对
249,
250,窗体底端
251,我的答案：D
252,15
253,法语的语音有南北之分，是以（）为界。（1.5分）
254,1.5分
255,窗体顶端
256,A、
257,塞纳河
258,
259,B、
260,罗亚尔河
261,
262,C、
263,加隆河
264,
265,D、
266,莱茵河
267,
268,窗体底端
269,我的答案：B
270,16
271,在法国，以下四类住处中属于“为外国劳工在法居留期间居住的宿舍”的是（）。（1.5分）
272,1.5分
273,窗体顶端
274,A、
275,crous et cnous
276,
277,B、
278,location
279,
280,C、
281,jeune au pair
282,
283,D、
284,sonacotra
285,
286,窗体底端
287,我的答案：D
288,17
289,法语中，如果主语为几个不同人称，则动词为复数，人称按照优先原则：（）。（1.5分）
290,1.5分
291,窗体顶端
292,A、
293,第一人称优先于第二、三人称
294,
295,B、
296,第三人称优先于第一、二人称
297,
298,C、
299,第二人称优先于第一、三人称
300,
301,D、
302,第三人称优先于第二人称
303,
304,窗体底端
305,我的答案：A
306,18
307,"Paaserpour,sembler属于法语中的（）。（1.5分）"
308,1.5分
309,窗体顶端
310,A、
311,情态动词
312,
313,B、
314,系动词
315,
316,C、
317,代词
318,
319,D、
320,介词
321,
