,题目
0,1
1,3K宇宙背景辐射发现的故事经历，与下列哪一句中国古诗最为巧合？（）
2,窗体顶端
3,A、
4,不识庐山真面目，只缘身在此山中
5,B、
6,满园春色关不住，一枝红杏出墙来
7,C、
8,有心栽花花不开，无心插柳柳成荫
9,D、
10,山重水复疑无路，柳暗花明又一村
11,窗体底端
12,正确答案： D 我的答案：D
13,2
14,只能演化到碳核的恒星，其晚期核心可能会存在极其丰富的（）矿物。
15,窗体顶端
16,A、
17,钻石
18,B、
19,金矿
20,C、
21,钛矿
22,D、
23,铁矿
24,窗体底端
25,正确答案： A 我的答案：A
26,3
27,欧阳修“月上柳梢头，人约黄昏后”描述的是哪一个月相？（）
28,窗体顶端
29,A、
30,新月
31,B、
32,残月
33,C、
34,弦月
35,D、
36,满月
37,窗体底端
38,正确答案： D 我的答案：D
39,4
40,哈勃关系成立是宇宙均匀膨胀的（）条件。
41,窗体顶端
42,A、
43,充分必要
44,B、
45,充分非必要
46,C、
47,必要非充分
48,D、
49,非充分非必要
50,窗体底端
51,正确答案： A 我的答案：A
52,5
53,银河系的总质量（引力质量）可以通过恒星的（）等物理量计算出来。
54,窗体顶端
55,A、
56,绕银核运转的速度和光谱型
57,B、
58,绕银核运转的速度和运转轨道的半径
59,C、
60,光度和光谱型
61,D、
62,光度和运转轨道的半径
63,窗体底端
64,正确答案： B 我的答案：B
65,6
66,活动星系核的质量至少应该是太阳质量的多少倍？（）
67,窗体顶端
68,A、
69,10
70,B、
71,1000
72,C、
73,1000000
74,D、
75,1000000000.0
76,窗体底端
77,正确答案： C 我的答案：C
78,7
79,下面哪组种类-例子的关系是不正确的？
80,窗体顶端
81,A、
82,目视双星-常陈一
83,B、
84,食双星-大陵五
85,C、
86,天体测量双星-天狼A-B
87,D、
88,分光双星-开阳、辅星
89,窗体底端
90,正确答案： D 我的答案：D
91,8
92,太阳有利于地球上生命延续的条件不包括（）。
93,窗体顶端
94,A、
95,质量、体积适中
96,B、
97,寿命足够长
98,C、
99,与其他恒星组成双星系统
100,D、
101,氢-氦热核反应稳定而持久
102,窗体底端
103,正确答案： C 我的答案：C
104,9
105,英国天文学家Eddington的“我知道你们不会介意多或者少一两个零，可大自然在乎”妙语，评价的是下列哪一个参数？（）
106,窗体顶端
107,A、
108,地球的质量
109,B、
110,太阳的质量
111,C、
112,地球到太阳的距离
113,D、
114,银河系到仙女座大星系的距离
115,窗体底端
116,正确答案： B 我的答案：B
117,10
118,下列名词或人物，与“对称与破缺”无关的是（）。
119,窗体顶端
120,A、
121,群论
122,B、
123,宇称爆炸
124,C、
125,吴健雄
126,D、
127,南部阳一郎
128,窗体底端
129,正确答案： B 我的答案：B
130,11
131,视向速度法确定系外行星的测定原理包括（）。
132,窗体顶端
133,A、
134,恒星与行星绕着公共质心旋转和测量恒星亮度的变化
135,B、
136,恒星与行星绕着公共质心旋转和恒星光谱周期性红移、紫移
137,C、
138,直接观测到恒星的移动和测量恒星亮度的变化
139,D、
140,直接观测到恒星的移动和恒星光谱周期性红移、紫移
141,窗体底端
142,正确答案： B 我的答案：B
143,12
144,Ia型超新星与（）定律所描述的经典情况并不一致。
145,窗体顶端
146,A、
147,牛顿
148,B、
149,麦克斯韦
150,C、
151,普朗克
152,D、
153,哈勃
154,窗体底端
155,正确答案： D 我的答案：D
156,13
157,由于星云通常含有厚重的尘埃，因此，需要对星云展开哪种波段的电磁波的观测才能更好地观测到恒星的生长状况？（）
158,窗体顶端
159,A、
160,γ射线
161,B、
162,X射线
163,C、
164,可见光
165,D、
166,红外光
167,窗体底端
168,正确答案： D 我的答案：D
169,14
170,中国古人记载的公元185年超新星爆发的文字中，有可能反映了恒星化学组成的变化的语句是（）。
171,窗体顶端
172,A、
173,客星出南门中
174,B、
175,大如半筵
176,C、
177,五色喜怒
178,D、
179,至后年六月消
180,窗体底端
181,正确答案： C 我的答案：C
182,15
183,罗列系外行星的质量和尺寸时，一般不会将其与太阳系中的（）行星进行比较。
184,窗体顶端
185,A、
186,木星
187,B、
188,海王星
189,C、
190,地球
191,D、
192,火星
193,窗体底端
194,正确答案： D 我的答案：D
195,16
196,下面哪一种粒子没有对应的反粒子？（）
197,窗体顶端
198,A、
199,光子
200,B、
201,电子
202,C、
203,质子
204,D、
205,中子
206,窗体底端
207,正确答案： A 我的答案：A
208,17
209,蒭藁型变星的变光周期不可能是（）天。
210,窗体顶端
211,A、
212,7
213,B、
214,70
215,C、
216,350
217,D、
218,700
219,窗体底端
220,正确答案： A 我的答案：A
221,18
222,大爆炸模型在（）年代正式确立为标准宇宙模型。
223,窗体顶端
224,A、
225,1930年代-1940年代
226,B、
227,1940年代-1950年代
228,C、
229,1970年代-1980年代
230,D、
231,1980年代-1990年代
232,窗体底端
233,正确答案： C 我的答案：C
234,19
235,以下现象，不是由太阳活动导致的是（）。
236,窗体顶端
237,A、
238,日冕物质喷射
239,B、
240,极光
241,C、
242,黑子
243,D、
244,太阳周年视运动
245,窗体底端
246,正确答案： D 我的答案：D
247,20
248,开普勒探测器使用的搜寻系外行星的方法是（）
249,窗体顶端
250,A、
251,视向速度法
252,B、
253,凌星法
254,C、
255,直接成像法
256,D、
257,微透镜法
258,窗体底端
259,正确答案： B 我的答案：B
260,21
261,基于Ia型超新星的特性，科学家通过观测得知，该型超新星距离越远，其爆发时间就越古老，而其所处时代的退行速度也越（）。
262,窗体顶端
263,A、
264,快
265,B、
266,不变
267,C、
268,慢
269,D、
270,不确定
271,窗体底端
272,正确答案： C 我的答案：C
273,22
274,“双生子佯谬”中，飞船以99%光速探访20光年以外的天体，返回地球时，飞船上的人度过的时间长度应该是（）年。
275,窗体顶端
276,A、
277,6
278,B、
279,12
280,C、
281,20
282,D、
283,40
284,窗体底端
285,正确答案： A 我的答案：A
286,23
287,在Michelson光干涉实验中，下列叙述不符合史实的是（）。
288,窗体顶端
289,A、
290,Michelson实验的目的，是验证地球相对于“绝对空间”的运动
291,B、
292,Michelson终其一生，并没有测到“相对于‘绝对空间’的运动”
293,C、
294,Einstein的理论认为“绝对空间”并不存在
295,D、
296,Michelson接受了Einstein的理论解释
297,窗体底端
298,正确答案： D 我的答案：D
299,24
300,古代中国的诸子百家当中，其思想表述与奇点问题不谋而合的当属（）。
301,窗体顶端
302,A、
303,儒家
304,B、
305,道家
306,C、
307,法家
308,D、
309,墨家
310,窗体底端
311,正确答案： B 我的答案：B
312,25
313,“三起源”不包括（）的起源问题。
314,窗体顶端
315,A、
316,宇宙
317,B、
318,天体
319,C、
320,生命
321,D、
322,人类
323,窗体底端
324,正确答案： D 我的答案：D
325,26
326,奥尔特云的特点不包括（）。
327,窗体顶端
328,A、
329,太阳风“吹”不到
330,B、
331,围绕着太阳呈球形分布
332,C、
333,彗星的“大本营”
334,D、
335,所隶属的天体总质量比很多大行星要大
336,窗体底端
337,正确答案： D 我的答案：D
338,27
339,以下哪个星云在北半球夏季的前半夜是看不到的？（）
340,窗体顶端
341,A、
342,猎户座大星云
343,B、
344,鹰状星云
345,C、
346,三叶星云
347,D、
348,礁湖星云
349,窗体底端
