,题目
0,
1,1.大堡礁位于下面哪一个国家？（）
2,窗体顶端
3,A、加拿大
4,B、新西兰
5,C、美国
6,D、澳大利亚窗体底端
7,我的答案：D
8,2“倭国”指的是下面哪一个国家？（）
9,窗体顶端
10,A、日本
11,B、印尼
12,C、意大利
13,D、美国
14,窗体底端
15,我的答案：A
16,3下面关于突尼斯杰姆的圆形竞技场描述不正确的一项是？（）
17,窗体顶端
18,A、周长457米
19,B、可容纳3.5万人
20,C、有60座拱门
21,D、典型的哥特建筑
22,窗体底端
23,我的答案：D
24,4韩国的《寺刹令》颁布于（）年。
25,窗体顶端
26,A、1901年
27,B、1911年
28,C、1921年
29,D、1931年
30,窗体底端
31,我的答案：B
32,5下面哪一位美国总统于1935年签署《历史遗址与建筑法》？（）
33,窗体顶端
34,A、里根
35,B、杜鲁门
36,C、罗斯福
37,D、尼克松
38,窗体底端
39,我的答案：C
40,6下面关于英国《珍宝法》描述正确的一项是？（）
41,窗体顶端
42,A、是以保护具有文献价值和美术价值为宗旨的法律
43,B、是以保护具有历史价值和美术价值为宗旨的法律
44,C、是以保护具有人文价值和美术价值为宗旨的法律
45,D、是以保护具有社会价值和人文价值为宗旨的法律
46,窗体底端
47,我的答案：B
48,7历史上的君士坦丁堡指的是现在的哪一个地方？（）
49,窗体顶端
50,A、吉隆坡
51,B、乌兰巴托
52,C、孟买
53,D、伊斯坦布尔
54,窗体底端
55,我的答案：D
56,8刚果民主共和国共有（）项自然遗产。
57,窗体顶端
58,A、4
59,B、5
60,C、6
61,D、7
62,窗体底端
63,我的答案：B
64,9下面哪一个是瑞典的文化遗产？（）
65,窗体顶端
66,A、辛格韦德利国家公园
67,B、德罗特宁霍尔姆宫
68,C、昌德宫
69,D、黄石国家公园
70,窗体底端
71,我的答案：B
72,10奥斯维辛集中营位于下面哪一个国家？（）
73,窗体顶端
74,A荷兰
75,B、爱尔兰
76,C、芬兰
77,D、波兰
78,窗体底端
79,我的答案：D
80,11圣马可大教堂是（）风格的建筑。
81,窗体顶端
82,A、哥特
83,B、巴洛克
84,C、拜占庭
85,D、洛可可
86,窗体底端
87,我的答案：C
88,12中华民国成立于下面哪一年？（）
89,窗体顶端
90,A、1912年
91,B、1913年
92,C、1914年
93,D、1915年
94,窗体底端
95,我的答案：A
96,13下面关于莫高窟描述不正确的一项是？（）
97,窗体顶端
98,A、地处丝绸之路的一个战略要点
99,B、有192个小石窟
100,C、是东西方贸易的一个中转站
101,D、是宗教、文化和知识的交汇处
102,窗体底端
103,我的答案：B
104,14下面哪一项是美国颁布《考古资源保护法》的目的？（）
105,窗体顶端
106,A、杜绝文物走私
107,B、有效控制文物走私
108,C、杜绝文化遗产的流失
109,D、实行民间保护
110,窗体底端
111,我的答案：B
112,15下面哪一个不属于非物质文化遗产？（）
113,窗体顶端
114,A、内蒙古长调民歌
115,B、昆曲
116,C、长城
117,D、古曲
118,窗体底端
119,我的答案：C
120,16孔夫子的庙宇和墓地位于下面哪一个城市？（）
121,窗体顶端
122,A、青岛
123,B、潍坊
124,C、泰安
125,D、曲阜
126,窗体底端
127,我的答案：D
128,17非洲最大的岛屿是下面哪一个？（）
129,窗体顶端
130,A、塞舌尔群岛
131,B、索科特拉岛
132,C、马达加斯加岛
133,D、比热戈斯群岛
134,窗体底端
135,我的答案：C
136,18国际古迹遗址理事会的总部设在（）。
137,窗体顶端
138,A、巴黎
139,B、斯特哥尔摩
140,C、布达佩斯
141,D、雅加达
142,窗体底端
143,我的答案：A
144,19《为切实保存前代文物古迹致各省民政长训令》是在下面哪一政府内部颁布的？（）
145,窗体顶端
146,A、民国政府
147,B、清政府
148,C、北洋政府
149,D、苏维埃政府
150,窗体底端
151,我的答案：C
152,20下面哪一个是中国历史上最早涉及古物、古迹保护的法规？（）
153,窗体顶端
154,A、《文化遗产保护法》
155,B、《自然遗产保护法》
156,C、《文物保护推广法案》
157,D、《名胜古迹保护法》
158,窗体底端
159,我的答案：B
160,21澳门历史城区于2005年7月被列为中国第（）处世界遗产。
161,窗体顶端
162,A、31
163,B、32
164,C、33
165,D、34
166,窗体底端
167,我的答案：A
168,22英国议会大厦是由下面哪一位设计的？（）
169,窗体顶端
170,A、贝聿铭
171,B、查尔斯巴里
172,C、哈蒂德
173,D、安东尼奥·高迪
174,窗体底端
175,我的答案：B
176,23萨拉老城属于下面哪一个国家？（）
177,窗体顶端
178,A、伊拉克
179,B、也门
180,C、越南
181,D、柬埔寨
182,窗体底端
183,我的答案：B
184,24下面哪一项是法国专门针对城市改造制定的文物保护法？（）
185,窗体顶端
186,A、《城市街区保护法》
187,B、《城市规划法》
188,C、《城市遗产保护法》
189,D、《历史城市规划法》
190,窗体底端
191,我的答案：B
192,25大洋洲共有（）个独立的国家。
193,窗体顶端
194,A、14
195,B、24
196,C、34
197,D、44
198,窗体底端
199,我的答案：A
200,26中国于1982年公布的第一批历史文化名城有（）座。
201,窗体顶端
202,A、23
203,B、24
204,C、25
205,D、26
206,窗体底端
207,我的答案：B
208,27下面哪一个被称为“毗湿奴的神殿”？（）
209,窗体顶端
210,A、昌德宫
211,B、吴哥窟
212,C、圣母殿
213,D、金字塔
214,窗体底端
215,我的答案：B
216,28截至2008年7月11日，香港法定古迹共有（）项。
217,窗体顶端
218,A、85
219,B、86
220,C、87
221,D、88
222,窗体底端
