,题目
0,尔雅音乐鉴赏2016 考试答案
1,一、 单选题（题数：50，共 50.0 分）
2,1
3,下列哪一种音乐表现状态不是顺应了惯性心理期待的结果：（）
4,A、自然B、流畅C连贯D、生硬
5,窗体底端
6,正确答案： D 我的答案：D
7,2
8,一般情况下人类对哪个音域不敏感：（
9, A、低音B、中音C、中高音D、高音
10,窗体底端
11,正确答案： A 我的答案：A
12,3
13,中国的传统音乐中缺少下列哪一个因素：（）
14,A、节奏B、旋律C、乐器D、合音
15,窗体底端
16,正确答案： D 我的答案：D
17,4
18,下列哪一项表述不属于推动音乐作品的力量：（）
19,A、大量音响凑集B、阻碍期待C、提高音量D、加强张力
20,窗体底端
21,正确答案： C 我的答案：B
22,5
23,通常来讲，整个欧洲音乐的渊源可以追溯到下列哪一部著作。（）
24,A、《小夜曲》B、《安魂曲》C、《格里高利圣咏》D、《巴斯蒂安与巴斯蒂娜》
25,窗体底端
26,正确答案： C 我的答案：C
27,6
28,音乐实现描写复杂思想的意图的过程中不包括哪一环节：（）
29,A、用复杂的音符表现B、将相关因素拆分成单个感性特征C、听众感知单个感性特征D、听众找寻线索串起感性特征
30,窗体底端
31,正确答案： A 我的答案：C
32,7
33,听众很多情况下不能正确理解音乐不是因为：（）
34,A听众音乐素养的限制B、音乐表达的主观性C、音乐表达的模糊性D、音乐表达的不确定性
35,窗体底端
36,正确答案： A 我的答案：A
37,8
38,因惯性心理引起的（）产生保持性期待和连贯感要求。
39,A、归属感B、期待感C、安全感D、新鲜感
40,窗体底端
41,正确答案： B 我的答案：B
42,9
43,下列哪一项是在演奏炫技中最难把控的：（）
44,A、细节B、速度C、力量D、绝对高度
45,窗体底端
46,正确答案： A 我的答案：A
47,10
48,一个伟大的演奏家和普通的演奏家真正的区别是在于：（）
49,A、技术B、注意力专注的程度C音乐的感受能力D理解的深度
50,窗体底端
51,正确答案： B 我的答案：B
52,11
53,当我们在创作乐曲时，如果意图表达渴望或内心涌动的情感时应采用下列哪一种变化手法：（）
54,A、渐弱B渐长C、渐强D、渐缓
55,窗体底端
56,正确答案： C 我的答案：C
57,12
58,在音乐史上达到人类演奏技巧巅峰和极限的伟大演奏家是：（）
59,A、李斯特B、莫扎特C、巴赫D、理查德·弗里德曼
60,窗体底端
61,正确答案： A 我的答案：A
62,13
63,《4分33秒》是由下列哪一位先锋派作曲家所创作的：（）
64,A、冈瑟·舒勒B、C.德彪西C、约翰·凯奇D、R.瓦格纳
65,窗体底端
66,正确答案： C 我的答案：C
67,14
68,音乐能否引起明确的内容理解取决于：（）
69,A、良好的听觉B、良好的理解能力C、良好的乐感D、持续而稳定的联觉对应关系
70,窗体底端
71,正确答案： D 我的答案：D
72,15
73,下列哪一位演奏家首次演奏了《野蜂飞舞》八度版：（）
74,A、王羽佳B、朗朗C李斯特D、齐夫拉
75,窗体底端
76,正确答案： D 我的答案：D
77,16
78,排除时间因素，我们可以通过下列哪一种途径使评价标准内化：（）
79,A、强刺激B、大量的接触C、亲身试验D、感觉经验
80,窗体底端
81,正确答案： A 我的答案：B
82,17
83,声音的哪个属性不能引起我们的联觉：（）
84,A、音高与音强B、速度与节奏C、发音速度D、音长与音短
85,窗体底端
86,正确答案： D 我的答案：D
87,18
88,《音乐通论》是下列哪一位音乐大家的著作：（）
89,A廖辅叔B、莫扎特C廖尚果D萨利埃里
90,窗体底端
91,正确答案： C 我的答案：C
92,19
93,我们往往与成功的伟大演奏家之间的差别在于我们缺少对音乐宗教般的：（）
94,A、笃敬B、怠慢C、亵渎D、沉迷
95,窗体底端
96,正确答案： A 我的答案：A
97,20
98,“青菜萝卜，各有所爱”的现象是属于我们的：（）
99,A、理性偏好B、习惯性偏好C、主观感性偏好D群体共识偏好
100,窗体底端
101,正确答案： C 我的答案：C
102,21
103,莫扎特的《laudate dominum》特别强调出了下列哪一种属性的美感：（）
104,A、节奏B、和声C、旋律D、结构
105,窗体底端
106,正确答案： B 我的答案：B
107,22
108,下列哪一部作品最适合给6~10岁的孩童欣赏：（）
109,A、《命运交响曲》B、《英雄交响乐》C《献给爱丽丝》d《安魂曲》
110,窗体底端
111,正确答案： C 我的答案：C
112,23
113,在音乐的评论过程中我们首先要通过下列哪一种途径建立评价标准：
114,A、记忆B经验总结C、引导D理论学习
115,窗体底端
116,正确答案： C 我的答案：D
117,24
118,影响价值判断最重要的也是最难控制的指标是下列哪一项：（）
119,A、逻辑性B、有序性C、细节D、丰富性
120,窗体底端
121,正确答案： C 我的答案：C
122,25
123,下列哪一项因素不是导致我们感受不到音乐所传递的情感的原因：（）
124,A、太过功利B、太过现实C、太过感性D、太过理性
125,窗体底端
126,正确答案： C 我的答案：B
127,26
128,伟大的演奏家与普通的演奏家之间最大的差别点往往在于下列哪一项：（）
129,A、层次衔接B、中景结构C、总体布局D、细节
130,窗体底端
131,正确答案： D 我的答案：D
132,27
133,一般说来，演奏家的职能不包括：（）
134,A、了解作曲家原作意图B、揭示和传达作曲家的意图C、绝对地忠于原作D、添加个性阐释
135,窗体底端
136,正确答案： C 我的答案：C
137,28
138,在中国古代音乐史中，有关“和”的三个阶段论，下列哪一项不属于这三个阶段：（）
139,A、中和B、平和C、淡和D、谐和
140,窗体底端
141,正确答案： D 我的答案：D
142,29
143,听众听音乐时情感的聚集是通过什么是实现的：（）
144,A、对下一个音的期待B、保持长时间的期待C、联觉D、身体的反应
145,窗体底端
146,正确答案： B 我的答案：C
147,30
148,我们在创作音乐进行结构布局时，要注意骨干因的哪一项进度：（）
149,A、一度进行B、二度进行C、三度进行D、四度进行
150,窗体底端
151,正确答案： B 我的答案：B
152,31
153,中国第一位在国际比赛中获奖的钢琴家是：（）
154,A、朗朗B、周广仁C、杜宁武D、韩冰
155,窗体底端
156,正确答案： B 我的答案：A
157,32
158,下列哪一项是音乐音响的基本属性：（）
159,A、语义性B、视觉性C、非视觉性D、美学性
160,窗体底端
161,正确答案： C 我的答案：C
162,33
163,如果想要成为一个伟大的艺术家和创造家，下列哪一项是必须具备的：（）
164,A单一的文化环境B、开阔的心灵和胸怀C、深厚的理论知识D、忠于原作的精神
165,窗体底端
166,正确答案： B 我的答案：A
167,34
168,过去的演奏家通过下列哪一项来学习音乐以至于他们对音乐的解读因人而异：（）
169,A、现场演奏B、乐谱C唱片D、演奏视频
170,窗体底端
171,正确答案： B 我的答案：B
172,35
173,通过联觉感知，下列哪一项不是德彪西的《海》所描述的景象：（）
174,A，微波涟漪B、暗流涌动C、波涛汹涌D、水波荡漾
175,窗体底端
176,正确答案： C 我的答案：B
177,36
178,陕北民歌《脚夫调》表现的是哪一种情感：（） 
179,A，欢快B、伤感C、奋进D、愤懑
180,窗体底端
181,正确答案： D 我的答案：D
182,37
183,音乐主要是通过下列哪一途径与人类情感产生共鸣：（）
184,A、视觉B、语言C、听觉D、情绪
185,窗体底端
186,正确答案： D 我的答案：C
187,38
188,在合奏表演的过程中，每一位演奏家都应该站在哪一个位置上来考虑：（）
189,A、作曲家B、指挥家C，演奏家D、听众
190,窗体底端
191,正确答案： B 我的答案：B
192,39
193,《鲍列罗舞曲》是哪位作曲家的著作：（）
194,A、拉威尔B、亨德尔C、巴赫D、莫扎特
195,窗体底端
196,正确答案： A 我的答案：A
197,40
198,中国音乐教育和普及工作中基本以下列哪一项为核心：（）
199,A、音乐解说B、音乐感知C、音乐内化D、音乐创作
200,窗体底端
201,正确答案： A 我的答案：A
202,41
203,下列哪种情景不是《莫斯科河上的黎明》所描述的：（）
204,A、昏暗B、宁静C、曙光D、紧张
205,窗体底端
206,正确答案： D 我的答案：D
207,42
208,人们在有些情况下对音乐的感知会发生困难，这些情况不包括：（）
209,A、距音域敏感区太高、太低B、音符差距过于微妙C，在音域敏感区内D、刺激过强
210,窗体底端
211,正确答案： C 我的答案：C
212,43
213,一个音乐能够获得张力的最重要因素是：（）
214,A、节奏B、音符间隔C、音强D、期待
215,窗体底端
216,正确答案： D 我的答案：D
217,44
218,《G弦上的咏叹调》的作者是下面哪一位：（）    
219,A、贝多芬B、莫扎特C、巴赫D、肖邦
220,窗体底端
221,正确答案： C 我的答案：C
222,45
223,在演奏的过程中，我们经常忽视对下列哪一项的精细控制：（）
224,A、远景B，全景C、近景D、中景
225,窗体底端
226,正确答案： D 我的答案：B
227,46
