,题目
0,1
1,有的时候，自然界中的石头上会出现很美丽的花纹，地质学家对此有着不同的理论解释，以下哪个解释理由最不可能得到公众认可?
2,1.0 分
3,窗体顶端
4,
5,A、
6,人工雕刻上去的
7,B、
8,生物化石遗迹
9,C、
10,地震海啸喷出的粉砂岩
11,D、
12,透气透水的有机质经过沉淀作用形成的
13,窗体底端
14,正确答案： A 我的答案：A 
15,2
16,第四纪以来所形成的土状的岩石有不同的层次和类型，以下哪种不是土岩的类型？
17,1.0 分
18,窗体顶端
19,
20,A、
21,早期的午城黄土
22,B、
23,中间的高原黄土
24,C、
25,中间的离石黄土
26,D、
27,上部马兰黄土
28,窗体底端
29,正确答案： B 我的答案：B 
30,3
31,设立地质公园，可以在多方面促进所在地区的社会经济可持续发展，除了以下哪一点？
32,1.0 分
33,窗体顶端
34,
35,A、
36,创造新的就业机会
37,B、
38,破坏当地已有的自然环境
39,C、
40,吸引私人资金
41,D、
42,刺激地方乡村别墅业的兴建
43,窗体底端
44,正确答案： B 我的答案：B 
45,4
46,下列关于“景观”这一概念说法错误的是？
47,1.0 分
48,窗体顶端
49,
50,A、
51,“景观”一词最早出现在希伯来文的圣经中，用以描述耶路撒冷城的美景
52,B、
53,德语的“景观”原本含义是一片或一块乡村土地
54,C、
55,英语的“景观”来源于德语，也被理解为形象而富于艺术性的风景概念
56,D、
57,希伯来语中的“景观”更多的指的是自然的、半自然的乡土景观
58,窗体底端
59,正确答案： D 我的答案：D 
60,5
61,1956年开始，我国开始建立自然保护区，以下哪类自然保护区不属于当时的分类？
62,0.0 分
63,窗体顶端
64,
65,A、
66,禁伐区
67,B、
68,禁猎区
69,C、
70,自然地质保护区
71,D、
72,自然植被保护区
73,窗体底端
74,正确答案： C 我的答案：C
75,6
76,以下关于中国土壤资源特征说法错误的是？
77,1.0 分
78,窗体顶端
79,
80,A、
81,类型众多，资源丰富
82,B、
83,山地土壤资源所占比重较大
84,C、
85,耕地面积多，宜农后备土壤资源丰富
86,D、
87,土壤资源空间分布差异明显
88,窗体底端
89,正确答案： C 我的答案：C 
90,7
91,以下哪种不属于河床平面形态？
92,1.0 分
93,窗体顶端
94,
95,A、
96,顺直微弯型
97,B、
98,弯曲型
99,C、
100,河口三角洲
101,D、
102,分汊型
103,窗体底端
104,正确答案： C 我的答案：C 
105,8
106,以下关于土壤分类的说法错误的是？
107,0.0 分
108,窗体顶端
109,
110,A、
111,土壤性状特征是分类依据
112,B、
113,能够直接测量的土壤特征是分类依据，比如化学含量
114,C、
115,土壤发生学是分类的理论基础
116,D、
117,土壤的颜色是主要分类依据
118,窗体底端
119,正确答案： D 我的答案： D
120,9
121,下列关于褶皱说法错误的是？
122,1.0 分
123,窗体顶端
124,
125,A、
126,指岩石中面状构造形成的弯曲
127,B、
128,组成褶皱的各岩层间的时代顺序清楚
129,C、
130,较老岩层位于核心的褶皱称为向斜
131,D、
132,褶皱分为向形和背形
133,窗体底端
134,正确答案： C 我的答案：C 
135,10
136,组成土壤的矿物质有不同的粒径，这些不同的颗粒有着不同的组成结构，以下哪种不是它们的组成结构？
137,0.0 分
138,窗体顶端
139,
140,A、
141,单粒结构
142,B、
143,团粒结构
144,C、
145,片状结构
146,D、
147,复粒结构
148,窗体底端
149,正确答案： D 我的答案： D 
150,11
151,以下关于砂岩说法错误的是？
152,1.0 分
153,窗体顶端
154,
155,A、
156,具有砂状结构
157,B、
158,常见类型有英砂岩、长石砂岩
159,C、
160,砂的含量超过50%
161,D、
162,页岩属于砂岩的一种
163,窗体底端
164,正确答案： D 我的答案：D 
165,12
166,以下哪个区域不属于房山地质公园？
167,1.0 分
168,窗体顶端
169,
170,A、
171,石花洞溶洞群观光区
172,B、
173,涞水县野三坡综合旅游园区
174,C、
175,圣莲山观光体验区
176,D、
177,龟峰园区
178,窗体底端
179,正确答案： D 我的答案：D 
180,13
181,在描述地震的时候，有三个重要参数，以下哪个参数不是描述地震时所用的参数？
182,1.0 分
183,窗体顶端
184,
185,A、
186,发震时刻
187,B、
188,地震造成的人员伤亡
189,C、
190,空间位置
191,D、
192,震级
193,窗体底端
194,正确答案： B 我的答案：B 
195,14
196,以下哪一点不能够体现中国黄石矿山公园地质遗迹丰富、科研价值高这一特点？
197,1.0 分
198,窗体顶端
199,
200,A、
201,大冶群标准地层剖面
202,B、
203,大冶式铁矿床
204,C、
205,亚洲第一陡露天采坑
206,D、
207,土地复垦成果显著
208,窗体底端
209,正确答案： D 我的答案：D 
210,15
211,以下哪个因素不会影响到沙丘的形成和发育？
212,1.0 分
213,窗体顶端
214,
215,A、
216,风力
217,B、
218,地面形态
219,C、
220,沙源供应
221,D、
222,冰川体积
223,窗体底端
224,正确答案： D 我的答案：D 
225,16
226,科罗拉多大峡谷的马蹄形玻璃桥于下面哪一年建成：（）
227,1.0 分
228,窗体顶端
229,
230,A、
231,2006年
232,B、
233,2007年
234,C、
235,2008年
236,D、
237,2009年
238,窗体底端
239,正确答案： B 我的答案：B 
240,17
241,地震发生时会有不同的波形，不同的波形会引起不同种类的破坏，以下哪种不是地震发生时的波形？
242,1.0 分
243,窗体顶端
244,
245,A、
246,横波
247,B、
248,垂直波
249,C、
250,纵波
251,D、
252,面波
253,窗体底端
254,正确答案： B 我的答案：B 
255,18
