,题目
0,一、 单选题（题数：50，共 50.0 分） 
1,1 
2,World Series is held in ( ) every year.
3,1.0 分 
4,窗体顶端
5,
6,A、 
7,July 
8,B、 
9,August 
10,C、 
11,September 
12,D、 
13,October 
14,窗体底端
15,正确答案： D 我的答案：D 
16,2 
17,The first course in western food is called ().
18,1.0 分 
19,窗体顶端
20,
21,A、 
22,Main course 
23,B、 
24,Dessert 
25,C、 
26,Cuisine 
27,D、 
28,Appetiser 
29,窗体底端
30,正确答案： D 我的答案：D 
31,3 
32,The two significant mountain ranges of American are ( ) and Appalachian Mountains.
33,1.0 分 
34,窗体顶端
35,
36,A、 
37,Rocky Mountains 
38,B、 
39,Andes Mountains 
40,C、 
41,Alps Mountains 
42,D、 
43,Atlas Mountains 
44,窗体底端
45,正确答案： A 我的答案：A 
46,4 
47,"To buy a handgun, you must be ( ) years old."
48,1.0 分 
49,窗体顶端
50,
51,A、 
52,18 
53,B、 
54,19 
55,C、 
56,20 
57,D、 
58,21 
59,窗体底端
60,正确答案： D 我的答案：D 
61,5 
62,"According to the 2013 statistics, which one of the following is wrong?( )"
63,0.0 分 
64,窗体顶端
65,
66,A、 
67,The smallest part in the economic structure of developed countries is agriculture. 
68,B、 
69,The biggest part of GDP composition in America is Services. 
70,C、 
71,"In 2013, GDP growth rate in America is higher than that in China. "
72,D、 
73,"In 2013, America's inflation rate is lower than China's. "
74,窗体底端
75,正确答案： C 我的答案：D 
76,6 
77,Kobe Bryant's nick name is ( ).
78,1.0 分 
79,窗体顶端
80,
81,A、 
82,Tiger 
83,B、 
84,Flying fish 
85,C、 
86,Black Mamba 
87,D、 
88,Shark 
89,窗体底端
90,正确答案： C 我的答案：C 
91,7 
92,Everyone in America and China can read and write.( )
93,0.0 分 
94,窗体顶端
95,
96,A、 
97,0.6 
98,B、 
99,1.7 
100,C、 
101,2.1 
102,D、 
103,2.2 
104,窗体底端
105,正确答案： D 我的答案：C 
106,8 
107,There are ( ) Congressional Districts in the House of Representatives.
108,1.0 分 
109,窗体顶端
110,
111,A、 
112,200 
113,B、 
114,231 
115,C、 
116,435 
117,D、 
118,521 
119,窗体底端
120,正确答案： C 我的答案：C 
