,题目
0,1 
1,以下关于月球基本参数和资源说法有误的是哪一项？（）
2,1.0 分 
3,窗体顶端
4, 
5,A、 
6,月球自传一周和月球公转一周的周期相等 
7, 
8,B、 
9,月球表面没有大气 
10, 
11,C、 
12,没有大气的热传导，温度可达到200多摄氏度 
13, 
14,D、 
15,月亮的矿产资源十分贫瘠 
16, 
17,窗体底端
18,正确答案： D 我的答案：D 
19,2 
20,非洲的灾害主要以什么形式为主？（）
21,1.0 分 
22,窗体顶端
23, 
24,A、 
25,台风 
26, 
27,B、 
28,地震 
29, 
30,C、 
31,干旱 
32, 
33,D、 
34,崩滑 
35, 
36,窗体底端
37,正确答案： C 我的答案：C 
38,3 
39,以下关于我国探月的科学目标不正确的是（）。
40,1.0 分 
41,窗体顶端
42, 
43,A、 
44,获取月球表面的三维影像 
45, 
46,B、 
47,测试月球半径 
48, 
49,C、 
50,测试月球物质的各种成分 
51, 
52,D、 
53,积累月球环境经验 
54, 
55,窗体底端
56,正确答案： B 我的答案：B 
57,4 
58,1958年-1976年期间，美苏共发射了108枚探射器探索月球，其中成功或者部分成功的约（）次。
59,1.0 分 
60,窗体顶端
61, 
62,A、 
63,49 
64, 
65,B、 
66,50 
67, 
68,C、 
69,51 
70, 
71,D、 
72,52 
73, 
74,窗体底端
75,正确答案： D 我的答案：D 
76,5 
77,下列说法不正确的是（）。
78,1.0 分 
79,窗体顶端
80, 
81,A、 
82,不确定原理适用于宏观运动 
83, 
84,B、 
85,电子的半径是十的负八次方厘米 
86, 
87,C、 
88,光具有波粒二象性 
89, 
90,D、 
91,氢元素光谱的波长具有不连续性 
92, 
93,窗体底端
94,正确答案： A 我的答案：A 
95,6 
96,下列关于四个高原地震带说法不正确的是（）。
97,1.0 分 
98,窗体顶端
99, 
100,A、 
101,都在亚欧板块上 
102, 
103,B、 
104,地震发生情况都是西部多、东部少 
105, 
106,C、 
107,都有南北方向的南北地震带 
108, 
109,D、 
110,都在地球最收缩的地方，即北纬25-55度之间 
111, 
112,窗体底端
113,正确答案： A 我的答案：A 
114,7 
