,题目
0,1 
1,使“有些导演留大胡子，因此有些留大胡子的人是大嗓门”成立的前提是哪个？
2,0.0 分 
3,窗体顶端
4,A、 
5,所有的导演都是大嗓门 
6, 
7,B、 
8,有些导演是大嗓门 
9, 
10,C、 
11,所有大嗓门的人都是导演 
12, 
13,D、 
14,有些大嗓门不是导演 
15, 
16,窗体底端
17,我的答案：A
18, 
19,2 
20,用来确定论题真实性的命题叫做（）
21,1.0 分 
22,窗体顶端
23,A、 
24,论点 
25, 
26,B、 
27,论断 
28, 
29,C、 
30,论调 
31, 
32,D、 
33,论据 
34, 
35,窗体底端
36,我的答案：D 
37,3 
38,创立了数理逻辑的是谁？
39,1.0 分 
40,窗体顶端
41,A、 
42,莱布尼茨 
43, 
44,B、 
45,牛顿 
46, 
47,C、 
48,弗雷格和罗素 
49, 
50,D、 
51,布尔 
52, 
53,窗体底端
54,我的答案：C 
55,4 
56,人们的思维活动主要是什么？
57,1.0 分 
58,窗体顶端
59,A、 
60,联想活动 
61, 
62,B、 
63,计算活动 
64, 
65,C、 
66,推理活动 
67, 
68,D、 
69,控制活动 
70, 
71,窗体底端
72,我的答案：C 
73,5 
74,有之必然，无之未必不然指的是（）命题
75,1.0 分 
76,窗体顶端
77,A、 
78,必要条件命题 
79, 
80,B、 
81,充要 条件命题 
82, 
83,C、 
84,充分条件命题 
85, 
86,D、 
87,负命题 
88, 
89,窗体底端
90,我的答案：C 
91,6 
92,为了避免出现以偏概全的归纳，我们在归纳时应该（）
93,1.0 分 
94,窗体顶端
95,A、 
96,考察的数量尽可能少 
97, 
98,B、 
99,选取特殊样本 
100, 
101,C、 
102,不进行调查 
103, 
104,D、 
105,考察数量尽可能多 
106, 
107,窗体底端
108,我的答案：D 
109,7 
110,根据离赤道越近，白天能见度越高的原则，下面哪个国家白天能见度最高
111,1.0 分 
112,窗体顶端
113,A、 
114,俄罗斯 
115, 
116,B、 
117,英国 
118, 
119,C、 
120,德国 
121, 
122,D、 
123,中国 
124, 
125,窗体底端
126,我的答案：D 
127,8 
128,以下哪个不是逻辑的发源地
129,1.0 分 
130,窗体顶端
131,A、 
132,中国 
133, 
134,B、 
135,古巴比伦 
136, 
137,C、 
138,古印度 
139, 
140,D、 
141,古希腊 
142, 
143,窗体底端
144,我的答案：B 
145,9 
146,关联词”只要……就……”表现的关系是
147,1.0 分 
148,窗体顶端
149,A、 
150,论证关系 
151, 
152,B、 
153,矛盾关系 
154, 
155,C、 
156,反对关系 
157, 
158,D、 
159,因果关系 
160, 
161,窗体底端
162,我的答案：D 
163,10 
164,在大小项不扩展是指大项小项在（）和结论中都不能扩展周延
165,1.0 分 
166,窗体顶端
167,A、 
168,前提 
169, 
170,B、 
171,后件 
172, 
173,C、 
174,主项 
175, 
176,D、 
177,谓项 
178, 
179,窗体底端
180,我的答案：A 
181,11 
182,从“这架飞机上所有乘客都是阿拉伯人”可推出以下结论，除了
183,1.0 分 
184,窗体顶端
185,A、 
186,有阿拉伯人是这架飞机上的乘客 
187, 
188,B、 
189,并非这架飞机上有乘客不是阿拉伯人 
190, 
191,C、 
192,这架飞机上所有乘客都是阿拉伯人 
193, 
194,D、 
195,有阿拉伯人不是这架飞机上的乘客 
196, 
197,窗体底端
198,我的答案：D 
199,12 
200,逻辑最大的用处是什么？
201,1.0 分 
202,窗体顶端
203,A、 
204,怎么构造完美结构 
205, 
206,B、 
207,怎么构造假说 
208, 
209,C、 
210,怎么把推理运用于论证 
211, 
212,D、 
213,怎么推理出正确结论 
214, 
215,窗体底端
216,我的答案：C
217,13 
218,一项时间跨度为半个世纪的专项调查研究得出肯定结论：饮用常规量的咖啡对人的身体无害。因此咖啡的饮用者完全可以放心享用，只要不过量，就不会有碍健康。以下哪项最为恰当的指出了上述论证的漏洞？
219,1.0 分 
220,窗体顶端
221,A、 
222,咖啡的常规饮用量可能因人而异 
223, 
224,B、 
225,心脏健康不等于身体健康 
226, 
227,C、 
228,咖啡饮用者可能在喝咖啡时吃对心脏有害的食物 
229, 
230,D、 
231,有的人从不喝咖啡但心脏仍然健康 
232, 
233,窗体底端
234,我的答案：B 
235,14 
236,对于削弱和反驳
237,1.0 分 
238,窗体顶端
239,A、 
240,削弱论据是关键 
241, 
242,B、 
243,否定论点是关键 
244, 
245,C、 
246,找到他因是关键 
247, 
248,D、 
249,反驳因果是关键 
250, 
251,窗体底端
252,我的答案：B 
253,15 
254,两类对象要有可比性的话就要求
255,1.0 分 
256,窗体顶端
257,A、 
258,它们在因果类型上相同 
259, 
260,B、 
261,它们在相互关系上相同 
262, 
263,C、 
264,它们在表面现象相近 
265, 
266,D、 
267,它们在本质属性上相同 
268, 
269,窗体底端
270,我的答案：D 
271,16 
272,将“有的律师不是共产党”换质：
273,1.0 分 
274,窗体顶端
275,A、 
